Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
SBIN,EQ,13-Nov-19,318.25,316.05,318.6,305.65,306.85,306.8,312.08,32675829,10197352105,243915
SBIN,EQ,14-Nov-19,306.8,306.95,309.5,299.7,306.25,306,304.73,43617772,13291632583,230195
SBIN,EQ,15-Nov-19,306,312,323.7,310.05,322.95,321.9,318.93,95199897,30361910040,508263
SBIN,EQ,18-Nov-19,321.9,324,329.85,323.75,324.95,325.1,326.69,39009263,12744126198,266937
SBIN,EQ,19-Nov-19,325.1,325.8,331.8,322.1,331.4,330.4,327.4,41372145,13545297710,225870
SBIN,EQ,20-Nov-19,330.4,332,332.5,325.1,327.8,328.8,328.72,29972583,9852581076,169277
SBIN,EQ,21-Nov-19,328.8,329.25,332.85,326.55,331.95,331.35,330.65,34116162,11280549150,220874
SBIN,EQ,22-Nov-19,331.35,331.45,333.8,328.25,329.35,329.3,330.33,28974967,9571164196,142825
SBIN,EQ,25-Nov-19,329.3,329,337.5,328.35,336,336.1,333.83,27561300,9200905485,174615
SBIN,EQ,26-Nov-19,336.1,338,340,332.6,335.4,335.5,337,36464072,12288430645,206190
SBIN,EQ,27-Nov-19,335.5,335.95,345.55,334.05,345.1,343.55,338.92,33971305,11513585817,208212
SBIN,EQ,28-Nov-19,343.55,346.85,351,344.5,349.1,349.3,348.23,42538227,14813293401,266107
SBIN,EQ,29-Nov-19,349.3,348.85,348.85,340.6,342,341.85,344.22,23081823,7945313603,182304
SBIN,EQ,02-Dec-19,341.85,343.9,344.35,336.2,339.5,338.5,339.3,20648850,7006117201,142680
SBIN,EQ,03-Dec-19,338.5,341,342.95,333.35,336.5,336.25,337.9,26482178,8948352640,180722
SBIN,EQ,04-Dec-19,336.25,334.1,342.95,331.85,341.5,341.85,337.83,26789483,9050174824,187289
SBIN,EQ,05-Dec-19,341.85,343,344.6,335.15,336,336.2,338.88,30429507,10312041017,217025
SBIN,EQ,06-Dec-19,336.2,336.7,337.65,318,318.2,320,325.07,47027528,15287224870,399338
SBIN,EQ,09-Dec-19,320,318.95,327.65,314.75,317.05,316.7,320.65,52435239,16813556955,346470
SBIN,EQ,10-Dec-19,316.7,317.2,322.65,312.25,313.2,313.4,317.56,52155809,16562756794,304771
SBIN,EQ,11-Dec-19,313.4,311.2,315.75,308,311.75,312.8,312.23,52557951,16410249206,303209
SBIN,EQ,12-Dec-19,312.8,314,322.95,313.55,321.45,321.85,317.89,37804216,12017627902,234427
SBIN,EQ,13-Dec-19,321.85,325.2,333.45,325,333.15,332.55,329.84,40955226,13508848441,252185
SBIN,EQ,16-Dec-19,332.55,335.95,337.25,330.8,332.3,331.85,333.33,35027613,11675699798,245635
SBIN,EQ,17-Dec-19,331.85,333.25,335.75,330.65,333.55,332.9,333.79,26734601,8923796061,184237
SBIN,EQ,18-Dec-19,332.9,335,335.55,325.8,327.2,326.95,328.8,26449075,8696405934,196530
SBIN,EQ,19-Dec-19,326.95,327.35,329.6,324.5,328.3,328.15,327.19,27516289,9002958328,171554
SBIN,EQ,20-Dec-19,328.15,330.35,339.5,330.35,337.25,337.85,336.38,51839714,17438059881,320799
SBIN,EQ,23-Dec-19,337.85,335.7,338.85,330.35,332.4,332.4,334.27,30150335,10078492861,176514
SBIN,EQ,24-Dec-19,332.4,333.2,334.2,329.2,331.95,331.45,331.35,21747782,7206207419,134272
SBIN,EQ,26-Dec-19,331.45,333,333.45,328.1,330.2,329.85,330.09,24616942,8125696269,139034
SBIN,EQ,27-Dec-19,329.85,333.4,338.35,333,337.2,337.25,336.68,33477173,11271063364,209260
